1 6
2 3
3 1
4 2
5 2
6 1
7 3
8 3
9 2
10 3
11 2
12 4
13 5
14 4
15 5
16 6
17 6
18 7
19 7
20 8
21 8
22 9
23 9
24 10
25 12
26 12
27 12
28 12
29 14
30 15
31 16
32 17
33 18
34 19
35 20
36 21
37 21
38 23
39 36
40 25
41 26
42 28
43 29
44 31
45 32
46 33
47 34
48 36
49 37
50 39
51 41
52 41
53 42
54 45
55 47
56 47
57 49
58 52
59 53
60 55
61 69
62 59
63 60
64 62
65 64
66 66
67 68
68 70
69 72
70 79
71 75
72 77
73 80
74 82
75 84
76 87
77 90
78 91
79 79
80 79
81 81
82 83
83 86
84 97
85 88
86 91
87 62
88 63
89 65
90 67
91 68
92 86
93 72
94 73
95 74
96 75
97 77
98 79
99 81
100 82
