10 18
15 44
20 102
25 192
30 291
35 461
40 690
45 984
50 1355
55 1813
60 2030
65 2529
70 3158
75 3886
80 4700
85 5662
90 6763
95 7967
100 9329
105 10888
110 12521
115 14404
120 16239
125 18357
130 20603
135 23072
140 25735
145 28886
150 31853
155 35278
160 38599
165 42488
170 46613
175 50752
180 55385
185 59995
190 68393
195 72426
200 76124
205 81401
210 87732
215 93985
220 100380
225 107505
230 116216
235 125106
240 133684
245 141565
250 150958
255 161022
260 169338
265 180318
270 191406
275 201873
280 211737
285 222880
290 235981
295 249851
300 260414
