10 22
15 59
20 129
25 239
30 413
35 683
40 1034
45 1440
50 2040
55 2279
60 2508
65 2846
70 3550
75 4375
80 5343
85 6394
90 7650
95 8983
100 10524
105 12129
110 14002
115 16204
120 18146
125 20553
130 23198
135 26156
140 28959
145 32225
150 35731
155 39436
160 43581
165 47747
170 52287
175 57389
180 64929
185 69125
190 75966
195 82219
200 87690
205 94372
210 100655
215 108578
220 116245
225 124793
230 133252
235 139442
240 147646
245 155342
250 163048
255 171384
260 179043
265 188543
270 200242
275 212927
280 225687
285 237783
290 246053
295 258506
300 276515
