10 12
15 31
20 71
25 146
30 233
35 389
40 581
45 816
50 1134
55 1532
60 1984
65 2480
70 3157
75 3918
80 4700
85 5678
90 6679
95 7782
100 9154
105 10632
110 12133
115 14092
120 16126
125 18274
130 20658
135 22828
140 25543
145 28592
150 31518
155 34442
160 38524
165 41740
170 45973
175 50132
180 54938
185 58318
190 64994
195 71058
200 76205
205 80637
210 86444
215 93485
220 100408
225 106658
230 114356
235 121310
240 129387
245 137565
250 147273
255 156437
260 163004
265 176427
270 185500
275 194387
280 207065
285 216925
290 229734
295 241555
300 255474
