1000 107
26000 3787
51000 8103
76000 13255
101000 16149
126000 21345
151000 25693
176000 29554
201000 33433
226000 38236
251000 42975
276000 50830
301000 53368
326000 58993
351000 62844
376000 77088
401000 76647
426000 76924
451000 84255
476000 89752
501000 95153
526000 94194
551000 110511
576000 107326
601000 112868
626000 120155
651000 129222
676000 125174
701000 132641
726000 136729
751000 141820
776000 149376
801000 163130
826000 159105
851000 161771
876000 171083
901000 173107
926000 179163
951000 184326
976000 186826
