1 1
1000 135
26000 3923
51000 7972
76000 12281
101000 16285
126000 21136
151000 25810
176000 30765
201000 34579
226000 39644
251000 44586
276000 48868
301000 53481
326000 58561
351000 63962
376000 69415
401000 73753
426000 78161
451000 83203
476000 89583
501000 93698
526000 98931
551000 104380
576000 109009
601000 113194
626000 118932
651000 123600
676000 127280
701000 134006
726000 138300
751000 146089
776000 147986
801000 156995
826000 158179
851000 165306
876000 173671
901000 176034
926000 180388
951000 186721
976000 189852
